,norm_form,True label,Predicted,Norm morph features,Transformed morph features
5,_догонялки#,_догонялок,_догонялков,"NOUN,inan,GNdr,Pltm plur,nomn","NOUN,inan,GNdr,Pltm plur,gent"
6,_смоленскспиртпищеагропром#,_смоленскспиртпищеагропромы,_смоленскспиртпиещаргопромы,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,accs"
0,_контрольно-диспетчерский#,_контрольно-диспетчерским,_контрольно-диспетчрским,"ADJF masc,sing,nomn","ADJF plur,datv"
1,_заурбиевна#,_заурбиевнах,_заурбьевнах,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr plur,loct"
2,_отмер#,_отомрёмте,_отмрёмте,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,incl"
3,_прокопиевна#,_прокопьевен,_прокопиевен,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,accs"
4,_обезьяночеловек#,_обезьянолюди,_обезьяночеловеки,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,nomn"
5,_знаменный#,_знамённым,_знаменным,"ADJF,Qual masc,sing,nomn","ADJF,Qual plur,datv"
6,_ривекка#,_ривекк,_ривекок,"NOUN,anim,femn,Name sing,nomn","NOUN,anim,femn,Name plur,accs"
0,_кладу#,_клади,_кладь,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,impr,excl"
1,_снаряжённый#,_снаряжённой,_снаряженной,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv femn,sing,gent"
2,_треньканье#,_треньканий,_тренеканий,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent"
3,_уток#,_утков,_утоков,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
4,_попростел#,_попростеют,_попростят,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,3per,futr,indc"
5,_алфиевна#,_алфьевнам,_алфиевнам,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,datv"
6,_клерикально-партикуляристский#,_клерикально-партикуляристские,_клерикально-партикулятриеские,"ADJF masc,sing,nomn","ADJF plur,nomn"
0,_луховицыагропромснаб#,_луховицыагропромснабами,_луховицаыгропромснабами,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,ablt"
1,_выстриг#,_выстрижет,_выстрижёт,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,3per,futr,indc"
0,_сойка#,_соек,_сойок,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,gent"
1,_нерещусь#,_нерестятся,_нерещатся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,3per,pres,indc"
2,_наём#,_найм,_наём,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,accs,Infr"
3,_отпел#,_отпоёшь,_отопеешь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,2per,futr,indc"
0,_чёт#,_чётах,_четах,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,loct"
1,_30-й#,_30-ое,_мя-е,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum neut,sing,accs"
2,_аксён#,_аксёна,_аксена,"NOUN,anim,masc,Name sing,nomn","NOUN,anim,masc,Name sing,accs"
3,_тоо#,_тоо,_то,"NOUN,inan,neut,Fixd,Abbr,Orgn sing,nomn","NOUN,inan,neut,Fixd,Abbr,Orgn plur,accs"
0,_наволочённый#,_наволочённые,_наволоченные,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv plur,nomn"
1,_дою#,_доят,_доют,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,3per,pres,indc"
2,_липецкавтотрансобслуживание#,_липецкавтотрансобслуживании,_липецкавтотрансобуруживании,"NOUN,inan,neut,Sgtm,Orgn sing,nomn","NOUN,inan,neut,Sgtm,Orgn sing,loct"
3,_полошусь#,_полошитесь,_полоситесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
4,_выковырнул#,_выковырнем,_выковырнём,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
5,_полошусь#,_полошились,_полосились,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
6,_планерный#,_планёрной,_планерной,"ADJF,Qual masc,sing,nomn","ADJF,Qual femn,sing,loct,Infr"
7,_павлодартрактор#,_павлодартракторе,_павлодартаркторе,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,loct"
0,_пермстройпуть#,_пермстройпути,_пермстройпутю,"NOUN,inan,masc,Sgtm,Orgn sing,nomn","NOUN,inan,masc,Sgtm,Orgn sing,datv"
1,_уел#,_уем,_уею,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
2,_медно-марганцево-никелевый#,_медно-марганцево-никелевое,_медно-марганцево-никельое,"ADJF masc,sing,nomn","ADJF neut,sing,nomn"
3,_9-й#,_9-ый,_4-й,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum inan,masc,sing,accs"
0,_манхеттен#,_манхеттене,_манхеттне,"NOUN,inan,masc,Geox sing,nomn,Infr","NOUN,inan,masc,Geox sing,loct,Infr"
1,_плужен#,_плужно,_плуженно,"ADJS,Qual masc,sing","ADJS,Qual neut,sing"
2,_подсудимый#,_подсудимого,_подсудимыго,"NOUN,anim,masc,Sgtm sing,nomn","NOUN,anim,masc,Sgtm sing,gent"
3,_наскучил#,_наскучь,_наскучи,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
4,_тот-то#,_тех-то,_тот-тот,"ADJF,Apro masc,sing,nomn","ADJF,Apro anim,plur,accs"
5,_теплённый#,_тепленные,_теплённые,"PRTF,impf,tran,past,pssv masc,sing,nomn","PRTF,impf,tran,past,pssv inan,plur,accs,Infr"
0,_эгедиевич#,_эгедьевичей,_эгедиевичей,"NOUN,anim,masc,Patr sing,nomn,V-ie","NOUN,anim,masc,Patr plur,gent"
1,_галилеи#,_галилеев,_галилей,"NOUN,anim,ms-f,Pltm,Surn plur,nomn","NOUN,anim,ms-f,Pltm,Surn plur,accs"
0,_вошь#,_вшах,_вошах,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,loct"
1,_старопохвистневоагропромтранс#,_старопохвистневоагропромтрансам,_старопохвистневоагропромснамснам,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,datv"
2,_тетрафтортетрахлорпропан#,_тетрафтортетрахлорпропану,_тетрафтортетрахлорропрону,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
3,_поскольжу#,_поскользи,_поскольди,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
4,_федориевна#,_федорьевну,_федориевну,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,accs"
5,_уголовка#,_уголовки,_уголовок,"NOUN,inan,femn,Infr sing,nomn","NOUN,inan,femn,Infr plur,accs"
6,_перелой#,_перелои,_перелые,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,nomn"
0,_колыхающийся#,_колышущиеся,_колыхающиеся,"PRTF,impf,intr,pres,actv masc,sing,nomn","PRTF,impf,intr,pres,actv plur,nomn,Infr"
1,_подморгнул#,_подморгнула,_подморгла,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr femn,sing,past,indc"
2,_1-й#,_1-го,_ф-ого,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum anim,masc,sing,accs"
3,_невыровнен#,_невыровненно,_невыровнено,"ADJS masc,sing","ADJS neut,sing"
4,_алиевна#,_алиевне,_альевне,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,loct"
5,_закишел#,_закишит,_закишеет,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
6,_гоможу#,_гомози,_гомозь,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,impr,excl"
0,_кочевряжусь#,_кочевряжимся,_кочеврядимся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,1per,pres,indc"
1,_устье#,_устьев,_усть,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent"
2,_куросава#,_куросаве,_куросавой,"NOUN,anim,femn,Sgtm,Surn sing,nomn","NOUN,anim,femn,Sgtm,Surn sing,datv"
3,_киёк#,_кийках,_киёках,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,loct"
0,_кошённый#,_кошенный,_кошённый,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv inan,masc,sing,accs"
1,_усладился#,_усладитесь,_усладьтесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
2,_мефодиевна#,_мефодиевной,_мефодьевной,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,ablt"
3,_отторгнулся#,_отторглось,_отторгнулось,"VERB,perf,intr masc,sing,past,indc,Infr","VERB,perf,intr neut,sing,past,indc"
0,_перегнойно-элювиальный#,_перегнойно-элювиального,_перегнойно-элюивального,"ADJF masc,sing,nomn","ADJF masc,sing,gent"
1,_выметался#,_выметается,_вымечется,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
2,_афандиевна#,_афандиевнах,_афандьевнах,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr plur,loct"
3,_планерный#,_планёрной,_планерной,"ADJF,Qual masc,sing,nomn","ADJF,Qual femn,sing,gent,Infr"
0,_подволочённый#,_подволочённой,_подволоченной,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv femn,sing,loct"
1,_колыхающийся#,_колышущееся,_колыхающееся,"PRTF,impf,intr,pres,actv masc,sing,nomn","PRTF,impf,intr,pres,actv neut,sing,accs,Infr"
2,_засечённый#,_засеченному,_засечённому,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv masc,sing,datv,Infr"
3,_прожёгся#,_прожглась,_прожеглась,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr femn,sing,past,indc"
0,_круглильно-кашировально-оклеечный#,_круглильно-кашировально-оклеечными,_круглильно-кашировальеечеечеечеечеечееч,"ADJF masc,sing,nomn","ADJF plur,ablt"
1,_дорожусь#,_дорожишься,_дорозишься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,2per,pres,indc"
2,_усыпался#,_усыпятся,_усыпаются,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,3per,futr,indc"
0,_наём#,_наймам,_наёмам,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,datv"
1,_проникся#,_проникнетесь,_проничётесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
2,_неполинезиец#,_неполинезийцев,_неполинезьцев,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,gent"
3,_ляскнул#,_ляскнем,_ляскнём,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,1per,futr,indc"
0,_пылесосимся#,_пылесосься,_пылесосись,"VERB,impf,intr plur,1per,pres,indc","VERB,impf,intr sing,impr,excl"
1,_переплескал#,_переплескайте,_переплещите,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
2,_кулёк#,_кульку,_кулёку,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
3,_выдрался#,_выдерутся,_выдраются,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,3per,futr,indc"
4,_принажал#,_принажмём,_принажаем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
0,_господин#,_господах,_господинах,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,loct"
1,_хантымансийскнефтегазгеология#,_хантымансийскнефтегазгеологией,_хантымансийскнефтегазгогиегойой,"NOUN,inan,femn,Sgtm,Orgn sing,nomn","NOUN,inan,femn,Sgtm,Orgn sing,ablt"
0,_круглильно-кашировально-оклеечный#,_круглильно-кашировально-оклеечного,_круглильно-кашировальеечеечеечеечеечееч,"ADJF masc,sing,nomn","ADJF anim,masc,sing,accs"
1,_впрявший#,_впрявшее,_впрядшее,"PRTF,perf,tran,past,actv masc,sing,nomn","PRTF,perf,tran,past,actv neut,sing,nomn"
2,_нижневартовскторгнефть#,_нижневартовскторгнефти,_нижневартовскторгнефтьи,"NOUN,inan,femn,Sgtm,Orgn sing,nomn","NOUN,inan,femn,Sgtm,Orgn sing,gent"
3,_стеклю#,_стеклила,_стекли,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran femn,sing,past,indc"
4,_баллен#,_балльна,_балленна,"ADJS,Qual masc,sing","ADJS,Qual femn,sing"
0,_кошённый#,_кошенным,_кошённым,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv masc,sing,ablt"
1,_андриевна#,_андриевной,_андрьевной,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,ablt"
2,_10-й#,_10-ой,_12-ой,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,loct"
3,_бромосеребрян#,_бромосеребряны,_бромосеребрянны,"ADJS masc,sing",ADJS plur
4,_полутёмен#,_полутемна,_полутёмна,"ADJS masc,sing","ADJS femn,sing"
5,_чеченка-аккинка#,_чеченке-аккинке,_чеченка-аккинке,"NOUN,anim,femn sing,nomn","NOUN,anim,femn sing,datv"
6,_пануя#,_пановавши,_панувавши,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
0,_кэш#,_кэшем,_кэшом,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
1,_почил#,_почием,_почим,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,incl"
2,_защусь#,_застился,_защтился,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr masc,sing,past,indc"
3,_афандиевна#,_афандиевной,_афандьевной,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,ablt"
4,_вилиевна#,_вильевны,_вилиевны,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,gent"
0,_стегно#,_стёгнам,_стегнам,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,datv"
1,_обмяк#,_обмякни,_обомкни,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
2,_плочусь#,_плотимся,_плочимся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,1per,pres,indc"
0,_багрянённый#,_багряненный,_багрянённый,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv masc,sing,nomn"
1,_дожал#,_дожну,_дожму,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
2,_вытерся#,_вытрется,_вытррется,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
3,_древнеяпонский#,_древнеяпонское,_древнеяопнское,"ADJF masc,sing,nomn","ADJF neut,sing,nomn"
4,_протрепался#,_протрепишься,_протреплешься,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,2per,futr,indc,Infr"
5,_оторочил#,_оторочи,_оторочь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
6,_гноясь#,_гноившись,_гновшись,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
7,_разрушился#,_разрушьтесь,_разрушитесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
8,_свёкор#,_свёкры,_свёкоры,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,nomn"
9,_распелся#,_распоёмся,_распедемся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,1per,futr,indc"
10,_людская#,_людским,_людскам,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,datv"
0,_кандыба#,_кандыбых,_кандыб,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,accs"
1,_дымя#,_дымивши,_дымевши,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
2,_довожу#,_доводит,_довозит,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,3per,pres,indc"
3,_дифенилоксидтетракарбоновый#,_дифенилоксидтетракарбоновых,_дифенилоксидтетрарабробвых,"ADJF masc,sing,nomn","ADJF plur,gent"
4,_каракульча#,_каракульчой,_каракульчей,"NOUN,inan,femn,Sgtm sing,nomn","NOUN,inan,femn,Sgtm sing,ablt"
5,_обрёлся#,_обретёмся,_обредёмся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,1per,futr,indc"
6,_стружусь#,_стружись,_струдься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
7,_вклинённый#,_вклиненному,_вклинённому,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv masc,sing,datv"
0,_инвестиционно-учредительский#,_инвестиционно-учредительскому,_инвестиционно-учрудетительскому,"ADJF masc,sing,nomn","ADJF neut,sing,datv"
1,_стался#,_станетесь,_стадетесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
2,_неважен#,_неважны,_неважены,"ADJS masc,sing",ADJS plur
3,_отуплённый#,_отупленных,_отуплённых,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv plur,gent"
4,_30-й#,_30-го,_мя-ого,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum neut,sing,gent"
0,_веселю#,_веселите,_весельте,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,impr,excl"
1,_скоблю#,_скоблил,_скобил,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran masc,sing,past,indc"
2,_материально-производственный#,_материально-производственных,_материально-произодсоднтых,"ADJF masc,sing,nomn","ADJF plur,loct"
3,_пустился#,_пущусь,_пустусь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
4,_тешу#,_тешите,_тешете,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,2per,pres,indc"
5,_пестрею#,_пестрят,_пестреют,"VERB,impf,intr sing,1per,pres,indc,Infr","VERB,impf,intr plur,3per,pres,indc"
0,_обручье#,_обручьев,_обручий,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent"
1,_шлифовально-отделочный#,_шлифовально-отделочных,_шлифовально-отделодных,"ADJF masc,sing,nomn","ADJF plur,gent"
2,_угрёнок#,_угрятам,_угрёнкам,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,datv"
3,_стружу#,_стружил,_струдил,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran masc,sing,past,indc"
0,_планерный#,_планёрных,_планерных,"ADJF,Qual masc,sing,nomn","ADJF,Qual plur,loct,Infr"
1,_абулганиевич#,_абулганиевичи,_абулганьевичи,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr plur,nomn"
2,_архитектурно-планировочный#,_архитектурно-планировочного,_архитектурно-планиворого,"ADJF masc,sing,nomn","ADJF anim,masc,sing,accs"
3,_поверхностно-упрочненный#,_поверхностно-упрочненного,_поверхностно-упроченного,"ADJF masc,sing,nomn","ADJF anim,masc,sing,accs"
4,_тот-то#,_то-то,_тот-то,"ADJF,Apro masc,sing,nomn","ADJF,Apro neut,sing,nomn"
0,_обезлесился#,_обезлесься,_обезлесись,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
1,_насытился#,_насыщусь,_насытюсь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
2,_облипнув#,_облипши,_облипнувши,"GRND,perf,intr past","GRND,perf,intr past,V-sh"
0,_тигель#,_тигли,_тигели,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,nomn"
1,_перезаряжённый#,_перезаряженной,_перезаряжённой,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv femn,sing,ablt"
0,_степень#,_степени,_степни,"NOUN,inan,femn sing,nomn","NOUN,inan,femn sing,datv"
1,_полоню#,_полоните,_полоньте,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,impr,excl"
2,_степень#,_степени,_степни,"NOUN,inan,femn sing,nomn","NOUN,inan,femn sing,gent"
3,_мы#,_нас,_мых,"NPRO,1per plur,nomn","NPRO,1per plur,loct"
4,_двигательно-функциональный#,_двигательно-функционального,_двигательно-функцоанланого,"ADJF masc,sing,nomn","ADJF anim,masc,sing,accs"
0,_ссу#,_ссало,_ссуло,"VERB,impf,intr,Infr sing,1per,pres,indc","VERB,impf,intr,Infr neut,sing,past,indc"
1,_подвёл#,_подведёмте,_подоведёмте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,incl"
2,_полсотни#,_полусотнях,_полсотнях,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,loct"
3,_исподнее#,_исподние,_исподнея,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,nomn"
0,_адиевич#,_адиевичам,_адьевичам,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr plur,datv"
1,_прокиснув#,_прокисши,_прокиснувши,"GRND,perf,intr past","GRND,perf,intr past,V-sh"
2,_курсктурбоатомэнергоремонт#,_курсктурбоатомэнергоремонтов,_курсктурбоатомэнергортанов,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,gent"
0,_культурно-просветительный#,_культурно-просветительное,_культурно-просветтельное,"ADJF masc,sing,nomn","ADJF neut,sing,nomn"
1,_воспринял#,_воспримешь,_воспринишь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,2per,futr,indc"
2,_полячонок#,_полячонках,_полячатах,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,loct"
3,_поскольжу#,_поскользим,_поскольдим,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,1per,pres,indc"
4,_пространственно-временной#,_пространственно-временного,_пространственнов-ременного,"ADJF masc,sing,nomn","ADJF neut,sing,gent"
5,_вкладочно-швейно-резальный#,_вкладочно-швейно-резальными,_вкладочно-швейно-разланьыми,"ADJF masc,sing,nomn","ADJF plur,ablt"
6,_обмёл#,_обмела,_обметла,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran femn,sing,past,indc"
0,_авелиевна#,_авельевнах,_авелиевнах,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,loct"
1,_яча#,_ячавши,_ячивши,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
2,_избегнув#,_избегнувши,_избегши,"GRND,perf,intr past","GRND,perf,intr past,V-sh"
0,_комбайнерка#,_комбайнёркой,_комбайнеркой,"NOUN,anim,femn sing,nomn,Infr","NOUN,anim,femn sing,ablt"
1,_авелиевна#,_авельевне,_авелиевне,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,datv"
2,_полевел#,_полевеем,_полевём,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,incl"
3,_забрызгал#,_забрызжи,_забрызгай,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
0,_наём#,_найму,_наёму,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
1,_хотя#,_хотев,_хотив,"GRND,impf,tran pres","GRND,impf,tran past"
0,_перёд#,_передов,_перёдов,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
1,_13-й#,_13-ой,_11-ой,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,ablt"
0,_маркер#,_маркёры,_маркеры,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,nomn"
1,_увлажился#,_увлажьтесь,_увлажитесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
2,_затворённый#,_затворенной,_затворённой,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv femn,sing,gent"
3,_сотня#,_сотней,_сотнёй,"NOUN,inan,femn sing,nomn","NOUN,inan,femn sing,ablt"
4,_таранчу#,_тарантили,_таранчили,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
5,_поверхностно-упрочненный#,_поверхностно-упрочненных,_поверхностно-упроченных,"ADJF masc,sing,nomn","ADJF plur,gent"
6,_обрамлённый#,_обрамленные,_обрамлённые,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv inan,plur,accs,Infr"
7,_душу#,_души,_душь,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,impr,excl"
0,_9-й#,_9-ом,_4-ом,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum masc,sing,loct"
1,_вихорок#,_вихорки,_вихороки,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
2,_дальорглестехмонтаж#,_дальорглестехмонтажа,_дальрогрестехмонтажа,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,gent"
0,_засечённый#,_засеченным,_засечённым,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv plur,datv,Infr"
1,_мелюсь#,_мелются,_мелятся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,3per,pres,indc"
2,_теплозвуковиброизоляционный#,_теплозвуковиброизоляционном,_теплозвуковиброзиоляционном,"ADJF masc,sing,nomn","ADJF neut,sing,loct"
3,_связьуголь#,_связьугле,_связьуголе,"NOUN,inan,masc,Sgtm,Orgn sing,nomn","NOUN,inan,masc,Sgtm,Orgn sing,loct"
4,_шесток#,_шестки,_шестоки,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,nomn"
5,_дорожусь#,_дорожитесь,_дородитесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,2per,pres,indc"
6,_каббалктелерадио#,_каббалктелерадио,_каббалктелеради,"NOUN,inan,neut,Sgtm,Fixd,Orgn sing,nomn","NOUN,inan,neut,Sgtm,Fixd,Orgn sing,datv"
7,_рыльце#,_рыльцев,_рылец,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent,Infr"
0,_прокопиевна#,_прокопьевне,_прокопиевне,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,datv"
1,_кровоток#,_кровотокам,_кровоткам,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,datv"
2,_сырой#,_сырыми,_сыроими,"ADJF,Qual masc,sing,nomn","ADJF,Qual plur,ablt"
3,_лукава#,_лукавыми,_лукавами,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,ablt"
4,_знаток#,_знатоках,_знатках,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,loct"
0,_обмяк#,_обмякнем,_обомкнем,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,incl"
1,_обжал#,_обожну,_обожму,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_гробанул#,_гробанет,_гробанёт,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,3per,futr,indc"
1,_пестрею#,_пестришь,_пестреешь,"VERB,impf,intr sing,1per,pres,indc,Infr","VERB,impf,intr sing,2per,pres,indc"
